License Number,Pet Shop Name,Address
AS22L00071,MY BETTA GALLERY,"55, CHANGI ROAD, #B1-, 27, MILLAGE, 419709"
AS00L0801,NA NATURE AQUARIUM,"1, THOMSON ROAD, #01-, 340, 300001"
AS08H00031,NATURE FRIENDS,"374, BUKIT BATOK ST.31, #01-, 188, 650374"
AS88M0553,NEO KIM SUEY AQUARIUM,"211, HOUGANG STREET 21, #01-, 299, 530211"
AS12H00034,NEW KATONG AQUARIUM,"865, MOUNTBATTEN ROAD, #B1-, 23, KATONG SHOPPING CENTRE, 437844"
AS19D00022,OCEANIA REEFZ,"181, UPPER PAYA LEBAR ROAD, LEVEL 1, 534866"
AS20L00064,OH MY FISH,"76, HORNE ROAD, LEVEL 1, 209077"
AS22B00015,OMO OMO PET SHOP (PRIVATE LIMITED),"259, UPPER THOMSON ROAD, #01-, 259, SOO CHOW GARDEN, 574386"
AS21G00029,ONE STOP AQUARIUM,"51, LORONG 6 TOA PAYOH, #01-, 66, EAST PAYOH PALM, 310051"
AS22H00050,ONLYFURS PTE. LTD.,"482, SERANGOON ROAD, #04-, 01, 218149"
AS22L00073,ONLYPAWS,"1, TOWNSHEND ROAD, #01-, 00, 207599"
AS23B00012,ORIGINS CATTERY,"183, JALAN PELIKAT, #01-, 101, THE PROMENADE@PELIKAT, 537643"
AS22L00072,OTOLITH ENRICHMENT,"809, FRENCH ROAD, #02-, 37, KITCHENER COMPLEX, 200809"
AS23B00013,OURLOVELYGOLDFISHSINGAPORE,"55, CHANGI ROAD, #B1-, 21, MILLAGE, 419709"
AS22G00046,PAPI PURR PAWZ PTE. LTD.,"3, SOUTH BUONA VISTA ROAD, #B1-, 27, VIVA VISTA, 118136"
AS23D00020,PAW PALACE SG PTE. LTD.,"285, TANJONG KATONG ROAD, LEVEL 1, 437068"
AS22J00058,PAWFECT PETS PTE. LTD.,"278, EAST COAST ROAD, #01-, 01, 428944"
AS17M00002,PAWFESSIONAL PTE. LTD.,"1026, SEMBAWANG ROAD, LEVEL 1, 758499"
AS22A00011,PAWS & PALS HOLDINGS PTE. LTD.,"39, KAMPONG BAHRU ROAD, LEVEL 1, 169357"
AS20K00051,PAWS AND WOOFERS PTE. LTD.,"482, GEYLANG ROAD, LEVELS 1 AND 2, 389441"
AS22D00027,PAWSOME WOOF PTE. LTD.,"685, RACE COURSE ROAD, #01-, 334, 210685"
AS20F00024,PAWSOME.SG PTE. LTD.,"212, CHANGI ROAD, LEVEL 1, 419735"
AS21K00060,PET FABLES PTE. LTD.,"35, ENG KONG TERRACE, LEVEL 1, ENG KONG PARK, 599008"
AS12L00040,PET LOVERS CENTRE PTE. LTD.,"100, TRAS STREET, #04-, 03, 100AM, 079027"
AS15J00026,PET LOVERS CENTRE PTE. LTD.,"888, WOODLANDS DRIVE 50, #01-, 735, 888 PLAZA, 730888"
AS07J00055,PET LOVERS CENTRE PTE. LTD.,"370, ALEXANDRA ROAD, #B1-, 26, ANCHOR POINT, 159953"
AS12H00032,PET LOVERS CENTRE PTE. LTD.,"345, BEDOK ROAD, 469530"
AS13L00036,PET LOVERS CENTRE PTE. LTD.,"311, NEW UPPER CHANGI ROAD, #B2-, 59, BEDOK MALL, 467360"
AS13G00020,PET LOVERS CENTRE PTE. LTD.,"271, BUKIT TIMAH RD, #01-, 05, BALMORAL PLAZA, 259708"
AS09M00002,PET LOVERS CENTRE PTE. LTD.,"51, ANG MO KIO AVE 3, #01-, 02, BIG MAC CENTRE, 569922"
AS11B00011,PET LOVERS CENTRE PTE. LTD.,"3155, COMMONWEALTH AVE WEST, #B1-, 02, THE CLEMENTI MALL, 129588"
AS12M00001,PET LOVERS CENTRE PTE. LTD.,"10, CHUN TIN RD, 599597"
AS15A00004,PET LOVERS CENTRE PTE. LTD.,"625, ELIAS ROAD, #01-, 308, ELIAS MALL, 510625"
AS14H00018,PET LOVERS CENTRE PTE. LTD.,"4, HILLVIEW RISE, #02-, 16, THE HILLER, 667979"
AS13L00035,PET LOVERS CENTRE PTE. LTD.,"21, HOUGANG STREET 51, #01-, 17\18, HOUGANG GREEN, 538719"
AS12E00017,PET LOVERS CENTRE PTE. LTD.,"205, HOUGANG ST 21, #03-, 00, HEARTLAND MALL, 530205"
AS08G00026,PET LOVERS CENTRE PTE. LTD.,"31A/33A, LORONG LIPUT, HOLLAND VILLAGE, 277744"
AS15E00017,PET LOVERS CENTRE PTE. LTD.,"2, JURONG EAST ST 21, #02-, 31, IMM BUILDING, 609601"
AS12A00003,PET LOVERS CENTRE PTE. LTD.,"1, WOODLANDS RD, #01-, 01, JUNCTION 10, 677899"
AS04A1434,PET LOVERS CENTRE PTE. LTD.,"9, BISHAN PLACE, #B1-, 14, JUNCTION 8 SHOPPING CENTRE, 579837"
AS12D00011,PET LOVERS CENTRE PTE. LTD.,"2, JURONG EAST CENTRAL 1, #B1-, 17, JCUBE, 609731"
AS13F00015,PET LOVERS CENTRE PTE. LTD.,"50, JURONG GATEWAY ROAD, #B1-, 24\25, JEM, 608549"
AS12H00036,PET LOVERS CENTRE PTE. LTD.,"8, JALAN LEBAN, SEMBAWANG HILLS ESTATE, 577550"
